participantId,format,quiz_key,correct_answer,user_final_answer,correct,num_wrong_attempts,all_wrong_attempts_list,all_wrong_attempts_frequency,wrong_choice_distribution,wrong_choice_count
64457bc906c125cebd4bf66b,json5,tutorial-json5-part1,['D'],['D'],1,3,"[['B', 'C', 'D'], ['B'], ['B', 'D']]","{'B': 3, 'C': 1, 'D': 2}","{'B': 3, 'C': 1}",4
64457bc906c125cebd4bf66b,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']","['C', 'B']",0,5,"[['B'], ['D'], ['C'], ['C', 'A'], ['C', 'B']]","{'B': 2, 'D': 1, 'C': 3, 'A': 1}",{},0
6697c8b6d9d7baa7edd8c4d3,hjson,tutorial-hjson-part1,"['A', 'C']","['A', 'C']",1,3,"[['B'], ['A', 'C', 'D'], ['A', 'D']]","{'B': 1, 'A': 2, 'C': 1, 'D': 2}","{'B': 1, 'D': 2}",3
6697c8b6d9d7baa7edd8c4d3,hjson,tutorial-hjson-part2,"['A', 'B', 'C', 'D']","['B', 'D', 'C', 'A']",1,1,"[['B', 'D']]","{'B': 1, 'D': 1}",{},0
67e25388d573ec2d5f1c8442,yaml,tutorial-yaml-part1,"['B', 'C', 'D']","['C', 'D', 'B']",1,0,[],{},{},0
67e25388d573ec2d5f1c8442,yaml,tutorial-yaml-part2,"['B', 'C', 'D']","['C', 'B', 'D']",1,4,"[['A', 'B', 'D'], ['A', 'B', 'C'], ['A', 'C', 'D'], ['A', 'C']]","{'A': 4, 'B': 2, 'D': 2, 'C': 3}",{'A': 4},4
67e5cf90b79d0874e1cf16b0,toml,tutorial-toml-part1,"['B', 'D']","['D', 'B']",1,1,"[['A', 'D']]","{'A': 1, 'D': 1}",{'A': 1},1
67e5cf90b79d0874e1cf16b0,toml,tutorial-toml-part2,"['A', 'B', 'D']","['A', 'B', 'D']",1,0,[],{},{},0
67d00f24466a67ba7e41228e,toml,tutorial-toml-part1,"['B', 'D']","['C', 'B']",0,5,"[['B'], ['C', 'D', 'B', 'A'], ['C', 'D', 'B'], ['C', 'D', 'B'], ['C', 'B']]","{'B': 5, 'C': 4, 'D': 3, 'A': 1}","{'C': 4, 'A': 1}",5
67d00f24466a67ba7e41228e,toml,tutorial-toml-part2,"['A', 'B', 'D']","['D', 'A', 'B']",1,3,"[['D', 'A'], ['D', 'A', 'C'], ['D', 'A', 'C']]","{'D': 3, 'A': 3, 'C': 2}",{'C': 2},2
66475d6f7b27e4443ef0d031,json,tutorial-json-part1,['B'],['B'],1,2,"[['A'], ['A', 'B']]","{'A': 2, 'B': 1}",{'A': 2},2
66475d6f7b27e4443ef0d031,json,tutorial-json-part2,['D'],['D'],1,3,"[['A', 'C', 'D'], ['A', 'D'], ['A']]","{'A': 3, 'C': 1, 'D': 2}","{'A': 3, 'C': 1}",4
6672d878f68b9e349b56e871,toml,tutorial-toml-part1,"['B', 'D']","['B', 'D']",1,5,"[['C', 'B'], ['B'], ['B'], ['B'], ['B']]","{'C': 1, 'B': 5}",{'C': 1},1
6672d878f68b9e349b56e871,toml,tutorial-toml-part2,"['A', 'B', 'D']","['B', 'A', 'D']",1,0,[],{},{},0
67f5bb69760b211cdfe8021c,jsonc,tutorial-jsonc-part1,['B'],['B'],1,0,[],{},{},0
67f5bb69760b211cdfe8021c,jsonc,tutorial-jsonc-part2,"['A', 'B', 'C', 'D']","['A', 'B']",0,5,"[['A'], ['B'], ['C'], ['D'], ['A', 'B']]","{'A': 2, 'B': 2, 'C': 1, 'D': 1}",{},0
67e571bef6af7ecd9c29ad72,json,tutorial-json-part1,['B'],['B'],1,4,"[['D', 'C', 'B', 'A'], ['A'], ['A', 'B', 'D'], ['D']]","{'D': 3, 'C': 1, 'B': 2, 'A': 3}","{'D': 3, 'C': 1, 'A': 3}",7
67e571bef6af7ecd9c29ad72,json,tutorial-json-part2,['D'],['D'],1,3,"[['B'], ['A'], ['C']]","{'B': 1, 'A': 1, 'C': 1}","{'B': 1, 'A': 1, 'C': 1}",3
60f1f1d4ac991a259b83f603,json,tutorial-json-part1,['B'],['B'],1,5,"[['C'], ['C', 'D'], ['C', 'D', 'B'], ['C', 'D', 'B', 'A'], ['A']]","{'C': 4, 'D': 3, 'B': 2, 'A': 2}","{'C': 4, 'D': 3, 'A': 2}",9
60f1f1d4ac991a259b83f603,json,tutorial-json-part2,['D'],['D'],1,4,"[['A'], ['B'], ['C'], ['C']]","{'A': 1, 'B': 1, 'C': 2}","{'A': 1, 'B': 1, 'C': 2}",4
678f0bb28ec3307e4f1afb78,hjson,tutorial-hjson-part1,"['A', 'C']","['C', 'A']",1,2,"[['B'], ['C', 'D']]","{'B': 1, 'C': 1, 'D': 1}","{'B': 1, 'D': 1}",2
678f0bb28ec3307e4f1afb78,hjson,tutorial-hjson-part2,"['A', 'B', 'C', 'D']","['A', 'B', 'D', 'C']",1,1,"[['A', 'B', 'D']]","{'A': 1, 'B': 1, 'D': 1}",{},0
669b961e1c9cf30a26bb57d2,xml,tutorial-xml-part1,"['A', 'B']","['A', 'B']",1,0,[],{},{},0
669b961e1c9cf30a26bb57d2,xml,tutorial-xml-part2,"['B', 'D']","['D', 'B']",1,2,"[['A', 'C', 'D'], ['A', 'C']]","{'A': 2, 'C': 2, 'D': 1}","{'A': 2, 'C': 2}",4
673c13c9d37c8a73bc80b8ce,json,tutorial-json-part1,['B'],['B'],1,2,"[['A', 'B', 'D'], ['B', 'C']]","{'A': 1, 'B': 2, 'D': 1, 'C': 1}","{'A': 1, 'D': 1, 'C': 1}",3
673c13c9d37c8a73bc80b8ce,json,tutorial-json-part2,['D'],['D'],1,1,"[['A', 'B']]","{'A': 1, 'B': 1}","{'A': 1, 'B': 1}",2
66992f58a7964f557fc75f58,toml,tutorial-toml-part1,"['B', 'D']","['C', 'D']",0,5,"[['B', 'A', 'C', 'D'], ['C', 'B'], ['C', 'D'], ['C', 'A'], ['C', 'D']]","{'B': 2, 'A': 2, 'C': 5, 'D': 3}","{'A': 2, 'C': 5}",7
66992f58a7964f557fc75f58,toml,tutorial-toml-part2,"['A', 'B', 'D']","['A', 'B', 'D']",1,2,"[['A', 'B'], ['A', 'B', 'C']]","{'A': 2, 'B': 2, 'C': 1}",{'C': 1},1
60721c2da01b3a616edba9a7,xml,tutorial-xml-part1,"['A', 'B']","['A', 'B']",1,0,[],{},{},0
60721c2da01b3a616edba9a7,xml,tutorial-xml-part2,"['B', 'D']","['B', 'D']",1,3,"[['A', 'D', 'B'], ['A', 'D'], ['A', 'B']]","{'A': 3, 'D': 2, 'B': 2}",{'A': 3},3
673e43cc760355e9e4f042a3,json5,tutorial-json5-part1,['D'],['D'],1,5,"[['D', 'B'], ['D', 'B'], ['B', 'C'], ['B'], ['B']]","{'D': 2, 'B': 5, 'C': 1}","{'B': 5, 'C': 1}",6
673e43cc760355e9e4f042a3,json5,tutorial-json5-part2,"['A', 'B', 'C', 'D']","['D', 'A', 'B', 'C']",1,5,"[['A', 'D'], ['A'], ['D'], ['D'], ['D']]","{'A': 2, 'D': 4}",{},0
60a0b744298c64d46b63e893,hjson,tutorial-hjson-part1,"['A', 'C']","['A', 'C']",1,3,"[['D', 'B'], ['D', 'A', 'C'], ['D', 'A']]","{'D': 3, 'B': 1, 'A': 2, 'C': 1}","{'D': 3, 'B': 1}",4
60a0b744298c64d46b63e893,hjson,tutorial-hjson-part2,"['A', 'B', 'C', 'D']","['D', 'A', 'B', 'C']",1,1,"[['D', 'A']]","{'D': 1, 'A': 1}",{},0
67dc19c31078d1581e39e75a,yaml,tutorial-yaml-part1,"['B', 'C', 'D']","['D', 'C', 'B']",1,2,"[['D'], ['D', 'A', 'C']]","{'D': 2, 'A': 1, 'C': 1}",{'A': 1},1
67dc19c31078d1581e39e75a,yaml,tutorial-yaml-part2,"['B', 'C', 'D']","['D', 'C', 'B']",1,4,"[['A', 'B', 'D'], ['A', 'B', 'C'], ['A', 'D', 'C'], ['A', 'D', 'C', 'B']]","{'A': 4, 'B': 3, 'D': 3, 'C': 3}",{'A': 4},4
678bad003d15e6aba1ee5a5d,jsonc,tutorial-jsonc-part1,['B'],['B'],1,3,"[['B', 'C', 'D'], ['B', 'A'], ['B', 'A']]","{'B': 3, 'C': 1, 'D': 1, 'A': 2}","{'C': 1, 'D': 1, 'A': 2}",4
678bad003d15e6aba1ee5a5d,jsonc,tutorial-jsonc-part2,"['A', 'B', 'C', 'D']","['B', 'C', 'D', 'A']",1,1,[['A']],{'A': 1},{},0
