participantId,task,format,response,start_time,end_time,duration_sec,help_count,correct_answer,correct
56cb8858edf8da000b6df354,reading-task-tabular,hjson,,,,153.313,0,,4
57c357770e6a1f00015f6038,reading-task-tabular,json,,,,119.677,0,,4
5b68c9eb87af310001584803,reading-task-tabular,json5,,,,216.974,2,,4
5c6414540821d30001046198,reading-task-tabular,hjson,,,,400.75,0,,4
5d30dfa68b1523000134878f,reading-task-tabular,json,,,,228.45,0,,4
5d766978f47e6200019a2acf,reading-task-tabular,yaml,,,,334.42100000000005,0,,4
5dafea4de40355001651fa2f,reading-task-tabular,jsonc,,,,247.451,0,,3
5e3b5fa9255e7a37bc841135,reading-task-tabular,json,,,,230.34,0,,4
5e8a5a892f6f027054a83d88,reading-task-tabular,toml,,,,212.65699999999998,0,,3
5ecc71c95c92c2000a9e9a19,reading-task-tabular,jsonc,,,,226.113,0,,4
5f29eff59714081a3594a331,reading-task-tabular,json,,,,595.509,0,,4
60721c2da01b3a616edba9a7,reading-task-tabular,xml,,,,446.926,0,,2
607728dc0b4f8590b94ae57c,reading-task-tabular,jsonc,,,,417.42600000000004,0,,4
60a0b744298c64d46b63e893,reading-task-tabular,hjson,,,,309.549,0,,4
60f1f1d4ac991a259b83f603,reading-task-tabular,json,,,,333.15500000000003,0,,3
60fce3df91350150e2e88423,reading-task-tabular,yaml,,,,139.514,0,,4
61267b828ead584bcf092e35,reading-task-tabular,hjson,,,,556.4069999999999,0,,4
615200d54efc832849db2259,reading-task-tabular,json,,,,393.672,0,,4
62fd14d7b1e0729dc8aadb79,reading-task-tabular,xml,,,,218.37099999999998,0,,4
637d8ca00150ac6e71a34ec9,reading-task-tabular,yaml,,,,357.081,0,,4
63e5b3e89a3823139cb9d35e,reading-task-tabular,toml,,,,539.065,0,,4
64275e53f51a5ed4f6b7d019,reading-task-tabular,toml,,,,282.331,0,,4
64457bc906c125cebd4bf66b,reading-task-tabular,json5,,,,234.732,0,,3
6501c0a2e788b5556c24569d,reading-task-tabular,xml,,,,159.06,0,,4
6577a27da9f5297d49f38e6f,reading-task-tabular,hjson,,,,394.065,1,,4
65be552ceed6a0595fa1feb5,reading-task-tabular,json,,,,163.683,0,,3
65cf6d8a589a67afcab54e6f,reading-task-tabular,hjson,,,,272.594,0,,4
65fad673a546ab14baf2f8d3,reading-task-tabular,json5,,,,512.055,0,,4
66049694dfb8828a8f3dce70,reading-task-tabular,yaml,,,,375.19,0,,4
